filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
3786232b-81e5-48c9-930d-d127ea8dc280.fast5	3786232b-81e5-48c9-930d-d127ea8dc280	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	186	3	12700.813000	12.094250	24188	TRUE	12701.069000	23676	11.838250	4307	9.662710	0.000000	68.739365	7.924839	67.093979	8.731997
1ec1b2f7-ef96-436c-a351-30d70ce5a510.fast5	1ec1b2f7-ef96-436c-a351-30d70ce5a510	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	180	3	157935.724500	14.204750	28409	TRUE	157935.869500	28119	14.059750	4444	9.361175	0.000000	62.020477	7.580281	60.560360	8.170777
b989a0b8-8c30-4fd6-aa5b-24971e8b0564.fast5	b989a0b8-8c30-4fd6-aa5b-24971e8b0564	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	235	3	30026.542250	21.407000	42814	TRUE	30026.606750	42685	21.342500	8736	8.666012	0.000000	70.462151	9.130793	70.352821	9.403094
c67a8951-6922-42c6-881a-6d135fba530f.fast5	c67a8951-6922-42c6-881a-6d135fba530f	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	128	2	48235.249250	26.487250	52974	TRUE	48235.385750	52701	26.350750	8913	11.830202	0.000000	67.016571	9.303072	68.173401	9.361086
108d6c19-5cb9-4164-ae36-35ed222db54f.fast5	108d6c19-5cb9-4164-ae36-35ed222db54f	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	26	3	45567.036500	12.529000	25058	TRUE	45567.069500	24992	12.496000	4395	13.110638	0.000000	74.252296	8.786234	73.127632	9.341204
b438db5c-f6de-46bf-aaae-0094c9f6880e.fast5	b438db5c-f6de-46bf-aaae-0094c9f6880e	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	427	1	79747.434000	14.789500	29579	TRUE	79747.682000	29083	14.541500	4399	12.262681	0.000000	71.323547	8.613955	69.958145	9.324190
d44238e6-cd71-4c05-a9fe-c842f49edc6d.fast5	d44238e6-cd71-4c05-a9fe-c842f49edc6d	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	435	1	41939.950000	12.777500	25555	TRUE	41940.282000	24891	12.445500	4596	11.449149	0.000000	72.184944	10.681305	74.958893	9.546921
0ce4eb1a-3b52-4b0a-87c6-d811b90c10a5.fast5	0ce4eb1a-3b52-4b0a-87c6-d811b90c10a5	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	498	2	5106.560250	56.872750	113745	TRUE	5106.660250	113545	56.772750	22086	10.718588	0.000000	72.012665	8.958513	71.053223	9.257591
9fd5487e-767b-43b9-8def-1c2aa7b0d77c.fast5	9fd5487e-767b-43b9-8def-1c2aa7b0d77c	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	199	2	81768.308750	15.809500	31619	TRUE	81768.421750	31393	15.696500	4448	11.114100	0.000000	66.844292	10.336746	68.990990	9.929743
a4d9b80a-e11c-4132-91be-411532d362ad.fast5	a4d9b80a-e11c-4132-91be-411532d362ad	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	247	3	77530.552250	27.215750	54431	TRUE	77530.613750	54308	27.154250	8618	10.391192	0.000000	74.080017	9.475350	75.420502	9.580880
83e92c1a-5e6f-4d1d-8193-8000886b83ab.fast5	83e92c1a-5e6f-4d1d-8193-8000886b83ab	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	386	2	10268.861500	11.836000	23672	TRUE	10268.926500	23542	11.771000	4341	10.356534	0.000000	74.080017	8.786234	73.957077	9.600756
d875e4ee-af78-4992-837e-3848489f9bdf.fast5	d875e4ee-af78-4992-837e-3848489f9bdf	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	153	4	6045.941000	70.047250	140094	TRUE	6046.043500	139889	69.944750	26477	11.421230	0.000000	80.109787	9.647630	79.073860	10.066628
01e21949-24e7-4adb-ba7d-97dc623c90ce.fast5	01e21949-24e7-4adb-ba7d-97dc623c90ce	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	111	2	137644.432000	15.009750	30019	TRUE	137644.617500	29648	14.824250	4376	10.624827	0.000000	73.907738	8.269397	70.899330	9.185386
5b7429e4-6e2f-456e-8a5e-556a5c9e6332.fast5	5b7429e4-6e2f-456e-8a5e-556a5c9e6332	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	455	2	41480.321000	12.646500	25293	TRUE	41480.416000	25103	12.551500	4510	9.699502	0.000000	73.046341	8.441676	72.681335	9.049994
e862690d-e0c4-45db-8e8c-b032afd3de3c.fast5	e862690d-e0c4-45db-8e8c-b032afd3de3c	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	270	4	6281.938750	11.713000	23426	TRUE	6281.954250	23395	11.697500	4406	12.151808	0.000000	70.634430	10.509026	71.438469	9.662228
d17cb045-1904-46e4-849b-32673cab5c7c.fast5	d17cb045-1904-46e4-849b-32673cab5c7c	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	140	1	61955.955000	13.323500	26647	TRUE	61955.979000	26599	13.299500	4339	12.445845	0.000000	78.042435	8.958513	77.993172	9.990478
