filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
866017f0-c449-4410-b927-4ab9932e5c71.fast5	866017f0-c449-4410-b927-4ab9932e5c71	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	22	3	62710.584000	14.646500	14646	TRUE	62710.616000	14614	14.614500	4671	9.641870	0.000000	67.188850	9.992188	73.097931	9.716041
859e1bfc-efa1-4e21-a837-fb164ea200e5.fast5	859e1bfc-efa1-4e21-a837-fb164ea200e5	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	184	3	21666.417500	11.945250	11945	TRUE	21666.996500	11366	11.366250	4531	11.589927	0.000000	74.252296	8.613955	72.610046	9.788965
7e31a326-a8df-4bc7-9f05-7c361a6965ff.fast5	7e31a326-a8df-4bc7-9f05-7c361a6965ff	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	230	2	44835.924500	11.819750	11819	TRUE	44835.979500	11764	11.764750	4448	11.312699	0.000000	72.529503	8.786234	72.463287	10.096854
79892cf2-bb1a-4f7d-a96c-219c7238c24b.fast5	79892cf2-bb1a-4f7d-a96c-219c7238c24b	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	264	2	28005.498750	11.279250	11279	TRUE	28005.678750	11099	11.099250	4302	11.690138	0.000000	74.596855	8.786234	71.851463	10.082205
b8c8757c-55fd-4136-8a23-7d5952fa4950.fast5	b8c8757c-55fd-4136-8a23-7d5952fa4950	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	104	3	4678.363000	12.138750	12138	TRUE	4678.542000	11959	11.959750	4536	11.568854	0.000000	69.945320	8.441676	68.069031	9.011651
953839f0-e386-468c-975c-927c286a9e6e.fast5	953839f0-e386-468c-975c-927c286a9e6e	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	322	1	14108.280750	12.937750	12937	TRUE	14108.315750	12902	12.902750	4325	11.388987	0.000000	69.083923	10.509026	73.851990	9.522384
8d16faea-4534-4872-9277-b4ba3cdb0d4d.fast5	8d16faea-4534-4872-9277-b4ba3cdb0d4d	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	236	1	42783.570500	47.595250	47595	TRUE	42783.636500	47529	47.529250	17372	10.760828	0.000000	74.252296	10.336746	75.825050	9.794755
3cf602fb-c280-4b6a-8f44-88f830e59530.fast5	3cf602fb-c280-4b6a-8f44-88f830e59530	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	408	1	24215.773250	10.124750	10124	TRUE	24215.974250	9923	9.923750	4212	9.853575	0.000000	73.390900	8.441676	70.235367	9.940893
580b5eab-bebb-47ae-a203-40e85ed753db.fast5	580b5eab-bebb-47ae-a203-40e85ed753db	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	155	1	40771.318250	59.360250	59360	TRUE	40771.475250	59203	59.203250	21736	10.139466	0.000000	77.181038	10.164467	77.295944	10.084104
e540df82-29fb-44de-a6a8-905a64c70af7.fast5	e540df82-29fb-44de-a6a8-905a64c70af7	82dc462fc1d07e69c1507ae16e46fb64f9ab6005	0	245	1	2434.307000	10.157000	10157	TRUE	2434.353000	10111	10.111000	4408	9.663130	0.000000	73.218620	8.269397	71.361420	9.463531
