umi10000bins,Bacillus_8
umi10001bins,Bacillus_6
umi10003bins,Staphylococcus_4
umi10004bins,Escherichia_1
umi10006bins,Bacillus_3
umi10008bins,Lactobacillus_2
umi10009bins,Staphylococcus_2
umi10010bins,Staphylococcus_4
umi10011bins,Pseudomonas_1_2_3_4
umi10015bins,Escherichia_2
umi10017bins,Lactobacillus_3
umi10019bins,Lactobacillus_1
umi10020bins,Staphylococcus_1
umi10028bins,Staphylococcus_4
umi1002bins,Staphylococcus_6
umi10030bins,Bacillus_1
umi10031bins,Pseudomonas_1_2_3_4
umi10035bins,Enterococcus_3
umi10036bins,Listeria_3
umi10043bins,Staphylococcus_1
umi10044bins,Bacillus_3
umi10050bins,Staphylococcus_6
umi10056bins,Listeria_3
umi10057bins,Bacillus_7
umi10058bins,Salmonella_5
umi10059bins,Pseudomonas_1_2_3_4
umi1005bins,Lactobacillus_5
umi10062bins,Listeria_4
umi10064bins,Salmonella_3
umi10066bins,Staphylococcus_1
umi10067bins,Staphylococcus_5
umi10068bins,Listeria_4
umi10069bins,Pseudomonas_1_2_3_4
umi1006bins,Staphylococcus_4
umi10071bins,Lactobacillus_3
umi10076bins,Listeria_1
umi10077bins,Staphylococcus_5
umi10078bins,Escherichia_6
umi10079bins,Listeria_3
umi10080bins,Bacillus_6
umi10081bins,Pseudomonas_1_2_3_4
umi10089bins,Escherichia_1
umi10090bins,Escherichia_5
umi10093bins,Salmonella_2
umi10094bins,Salmonella_2
umi10097bins,Enterococcus_4
umi10098bins,Bacillus_2
umi1009bins,Lactobacillus_3
umi10100bins,Escherichia_4
umi10103bins,Escherichia_2
umi10106bins,Bacillus_2
umi10107bins,Staphylococcus_4
umi10110bins,Bacillus_7
umi10112bins,Bacillus_4_5
umi10113bins,Lactobacillus_2
umi10115bins,Staphylococcus_5
umi10119bins,Staphylococcus_4
umi1011bins,Staphylococcus_4
umi10120bins,Listeria_6
umi10124bins,Escherichia_1
umi10125bins,Listeria_4
umi10126bins,Staphylococcus_3
umi10127bins,Bacillus_1
umi10129bins,Bacillus_4_5
umi1012bins,Staphylococcus_6
umi10134bins,Staphylococcus_4
umi10137bins,Lactobacillus_4
umi10139bins,Pseudomonas_1_2_3_4
umi1013bins,Listeria_2_5
umi10140bins,Listeria_3
umi10142bins,Salmonella_7
umi10144bins,Enterococcus_4
umi10148bins,Staphylococcus_6
umi10150bins,Bacillus_3
umi10151bins,Staphylococcus_4
umi10153bins,Escherichia_6
umi10155bins,Lactobacillus_4
umi10158bins,Listeria_2_5
umi10159bins,Escherichia_4
umi1015bins,Pseudomonas_1_2_3_4
umi10160bins,Listeria_2_5
umi10162bins,Lactobacillus_1
umi10165bins,Staphylococcus_2
umi10166bins,Staphylococcus_1
umi10169bins,Staphylococcus_6
umi10170bins,Lactobacillus_4
umi10171bins,Escherichia_2
umi10173bins,Pseudomonas_1_2_3_4
umi10174bins,Listeria_3
umi10179bins,Bacillus_3
umi1017bins,Listeria_2_5
umi10181bins,Staphylococcus_2
umi10183bins,Lactobacillus_4
umi10184bins,Lactobacillus_1
umi10188bins,Listeria_2_5
umi10189bins,Listeria_2_5
umi10190bins,Listeria_3
umi10193bins,Escherichia_6
umi10199bins,Listeria_3
umi10200bins,Lactobacillus_4
umi10202bins,Bacillus_9
umi10203bins,Listeria_3
umi10204bins,Bacillus_4_5
umi10207bins,Lactobacillus_1
umi10208bins,Lactobacillus_5
umi10209bins,Staphylococcus_4
umi1020bins,Lactobacillus_3
umi10211bins,Bacillus_3
umi10212bins,Enterococcus_2
umi10213bins,Lactobacillus_4
umi10214bins,Staphylococcus_2
umi1021bins,Bacillus_10
umi10224bins,Salmonella_2
umi10225bins,Lactobacillus_1
umi10226bins,Bacillus_3
umi10228bins,Staphylococcus_5
umi1022bins,Staphylococcus_6
umi10230bins,Salmonella_5
umi10233bins,Salmonella_5
umi10234bins,Listeria_2_5
umi10235bins,Listeria_3
umi10236bins,Listeria_3
